Claim,Slide/section,Evidence,Source,Date,Calculation method,Assumptions,Confidence,Gaps / additional evidence needed
Public register data records Pixan Oy as the proprietor.,IP status,The EPO main record records Pixan Oy as the proprietor.,https://register.epo.org/application?number=EP14836345&lng=en&tab=main,2026-07-24,Direct observation from the register.,The register reflects the public record on the review date.,Confirmed,"The complete chain of title, deeds of assignment and possible encumbrances must be reviewed separately."
The earliest priority is FI20135829 dated 2013-08-14.,IP status,EPO record: FI20135829 · PCT/FI2014/050624 · WO2015022448 · EP3032975.,https://register.epo.org/application?number=EP14836345&lng=en&tab=main ; https://register.epo.org/application?number=EP14836345&lng=en&tab=family,2013-08-14,Direct observation from the register.,No assumptions.,Confirmed,No material gap for the priority claim.
The central EPO opposition and appeal proceedings concluded with the patent maintained in amended form.,IP status,Nicoventures Trading Limited filed an opposition on 28 February 2020; oral proceedings were held in July 2021 and an interlocutory decision was issued in August 2021; Pixan filed appeal T1818/21 in October 2021 and withdrew it on 11 December 2023; an amended nine-claim B2 was published on 24 April 2024.,https://register.epo.org/application?number=EP14836345&lng=en&tab=event ; https://register.epo.org/application?number=EP14836345&lng=en&tab=doclist ; https://data.epo.org/publication-server/rest/v1.2/patents/EP3032975NWB1/document.pdf ; https://data.epo.org/publication-server/rest/v1.2/patents/EP3032975NWB2/document.pdf,2024-04-24,Cross-check of official event entries and the B2 publication.,National validity and enforceability must be assessed separately.,Confirmed,Current status in each national register is still required.
The amended EP3032975B2 contains nine claims.,Patented solution,"B1 contained 13 claims and B2 contains 9 claims. The independent controller and method claims use stored resistance–power values, measure resistance, determine power through a non-proportional relationship and permit user adjustment between a non-zero minimum and a stored maximum. This is a plain-language summary, not a legal claim construction.",https://data.epo.org/publication-server/rest/v1.2/patents/EP3032975NWB2/document.pdf,2024-04-24,Claims counted directly from the B2 publication.,The plain-language summary is not a legal claim construction.,Confirmed,Country-specific expert claim construction and product mapping are required.
The patent family contains 22 publication-based records.,Geographic coverage,The public family data gives familyRecordCount = 22.,https://register.epo.org/application?number=EP14836345&lng=en&tab=family,2026-07-24,Count of EPO family publications; the count does not represent active rights.,Each publication record is treated only as evidence of a family route.,Supported,"Title, fee status, operative claims and legal status must be verified country by country."
"The German nullity action was dismissed on 14 January 2026, and an appeal is pending.",Legal evidence,The judgment concerns the German part of EP3032975B2. The appeal is pending before the Federal Court of Justice under reference X ZR 21/26.,https://www.rechtsprechung-im-internet.de/jportal/?quelle=jlink&docid=JURE269032275&psml=bsjrsprod.psml,2026-01-14,Direct reading of the official judgment entry and appeal reference.,The conclusion is limited to the German part and the current procedural status.,Confirmed,Monitor the progress and outcome of the Federal Court of Justice appeal X ZR 21/26.
The Munich court found that the products examined in the case infringed claims 1 and 6.,Legal evidence,"The decision records direct infringement of claims 1 and 6 and indirect infringement in relation to supplementary parts, together with remedies described in the decision.",https://www.gesetze-bayern.de/Content/Document/Y-300-Z-BECKRS-B-2026-N-14206,2026-04-02,Direct reading of the limited description of the official decision.,"The finding is not generalised beyond the products, parties, claims and period examined.",Confirmed,"Appeal status, finality, enforcement and any damages actually paid remain to be verified."
"The identified Chinese matter is an applicant-side re-examination, not infringement litigation.",Legal evidence,"The RPX entry describes review of a rejected application rather than an infringement action or adversarial invalidity dispute. The applicant name Pixon Limited / 皮克森有限公司 is strongly consistent with the Chinese rendering used for Pixan, but the official decision was not retrieved. CN105764365B was later granted on 4 May 2021.",https://litigation.rpxcorp.com/china/prb/5153434-picsen-company-v-pixan-oy-of-365 ; https://www.cnipa.gov.cn/art/2020/6/5/art_1517_92474.html ; https://register.epo.org/application?number=EP14836345&lng=en&tab=family,2020-08-24,Classification of the secondary docket entry against official procedural guidance.,"The name correspondence is strong, but the official decision is unavailable in the reviewed material.",Supported,The official CNIPA decision and its reasoning are required.
The public atlas contains a fixed research universe of 195 countries.,Market scope,countryCount = 195; universe = UN193+VA+PS.,https://www.un.org/en/about-us/member-states ; https://www.un.org/en/about-us/non-member-states,2026-07-24,193 UN Member States + Holy See + State of Palestine.,The research frame is not evidence of proven market coverage.,Confirmed,There is no gap in the universe definition; evidence coverage is assessed separately.
The public package contains 27 annual observations sourced from official routes across seven countries.,Market size,"The countries are Canada, Germany, Finland, New Zealand, Poland, Sweden and the United States. Transaction levels, currencies and product scopes differ.",site/data/market-values.json (machine-readable source file of the public site),2026-07-24,Count of annual observations whose evidenceStatus begins official_.,Official publication does not make the metrics automatically comparable.,Confirmed,Comparable annual device and liquid consumer-retail-value series are required from additional countries.
There are zero accepted full-year national consumer-retail-value donor markets.,Market size,comparableFullYearMarketValueDonors = 0. Five candidate tests are published against the same ten-criterion protocol.,"site/data/market-values.json (modelReadiness, donorProtocol and donorCandidates)",2026-07-24,A candidate enters the donor count only when D1–D10 all pass; a failed or open criterion keeps it outside the count.,"Official lower bounds, institutional benchmarks, shipment values, tax receipts, physical volumes and models are not relabelled as complete consumer-retail value.",Confirmed,"At least three accepted donors are required, with regional and regulatory-archetype coverage."
New Zealand's 2024 specialist-vape-retailer sales were reported as at least NZD 280 million.,Market size,"The Ministry of Health publishes an official consumer-retail lower bound based only on incomplete specialist-vape-retailer sales. General retail is outside the figure, adjacent notifiable products are included and the Ministry does not recommend the data for in-depth research.",https://www.health.govt.nz/regulation-legislation/vaping-herbal-smoking-and-smokeless-tobacco/requirements/complete-a-notifiable-product-annual-return/annual-returns-2024,2024,Direct use of the official at-least headline; no extrapolation and no addition of other return types.,"The figure is a lower bound, not a complete national vaping-market value.",Confirmed,"Obtain a complete national vaping-only retailer aggregate, GST basis and independent reconciliation."
"The raw sum of 612,765 numeric Total sales cells across New Zealand's 29 official 2024 XLSX files is NZD 280,684,512.81.",Market size,"The raw sum reconciles to the Ministry's at-least NZD 280 million headline. The files contain 95,144 exact repeated row signatures; removing occurrences after the first would produce NZD 264,561,055.05, but repeat semantics are unverified.",https://www.health.govt.nz/regulation-legislation/vaping-herbal-smoking-and-smokeless-tobacco/requirements/complete-a-notifiable-product-annual-return/annual-returns-2024 ; source/NZ_2024_ANNUAL_RETURNS_RECONCILIATION.md,2026-07-24,"Direct sum of the numeric Total sales cells in all 29 official XLSX files; no de-duplication, cleaning or extrapolation.",Repeated rows remain in the raw sum because their business meaning is unknown.,Supported,"The raw sum is not a cleaned national market value. General retail, missing returns and GST treatment remain unresolved."
"A conservative text classification identifies NZD 274,180,410.21 as New Zealand 2024 vaping-product-row raw sales.",Market size,"NZD 2,137,085.24 is identified as adjacent notifiable products and NZD 4,367,017.37 as unresolved product type. The vaping exact-row-de-duplication sensitivity is NZD 258,327,110.88, but it is not a corrected estimate.",https://www.health.govt.nz/regulation-legislation/vaping-herbal-smoking-and-smokeless-tobacco/requirements/complete-a-notifiable-product-annual-return/annual-returns-2024 ; source/NZ_2024_ANNUAL_RETURNS_RECONCILIATION.md,2026-07-24,Conservative Product type text classification of product rows in the official XLSX files; classification and repeated-row sensitivities are reported separately.,Product-type corruption and unresolved rows prevent interpretation as a complete vaping market.,Supported,"Obtain the authority's product-code dictionary, repeat-row semantics, complete channel coverage and GST basis. The figure is not donor-eligible."
"New Zealand's supported 2024 identified-vaping retail sensitivity is NZD 533,662,383.68–731,175,792.50, with a base case of NZD 641,811,687.89.",Market size,"The combined low, base and high cases are NZD 533,662,383.68 / 641,811,687.89 / 731,175,792.50. The model combines the specialist-retailer anchor with a general-retailer quantity-and-price model.",https://www.health.govt.nz/regulation-legislation/vaping-herbal-smoking-and-smokeless-tobacco/requirements/complete-a-notifiable-product-annual-return/annual-returns-2024 ; source/NZ_2024_RPS_RETAIL_VALUE_SENSITIVITY.md,2026-07-24,"Low (exact-row deduplication): NZD 258,327,110.88 + 275,335,272.80 = 533,662,383.68. Base (reported/raw rows): NZD 274,180,410.21 + 367,631,277.68 = 641,811,687.89. High (reported/raw rows): NZD 274,180,410.21 + 456,995,382.29 = 731,175,792.50.","GST treatment, return completeness and independent reconciliation are open; notifier supply-stage values are excluded.",Supported,Not an observed national value or accepted donor. Authority confirmation of scope and GST plus independent reproduction are required.
The new numerical reconstruction from the six official 2023 workbooks is intentionally not computed.,Market size,"The Ministry's published aggregate is at least NZD 374 million and 2,570 returns. It covers all notifiable products, including heated tobacco, and the Ministry warns about data quality.",https://www.health.govt.nz/regulation-legislation/vaping-herbal-smoking-and-smokeless-tobacco/requirements/complete-a-notifiable-product-annual-return/annual-returns-2023 ; source/NZ_2023_ANNUAL_RETURNS_FAIL_CLOSED.md,2026-07-24,Six official files are integrity-hashed; every new computation returns not_computed.,"Product scope, quantity fields, duplication, supply-chain level, tax basis and independent reconciliation remain unresolved.",Confirmed,"A new 2023 vaping-only value is missing, and NZD 374 million must not be relabelled as a pure vaping market."
"Official FTC tables yield USD 2,763,284,338 of reported cartridge-system-plus-disposable sales in 2021.",Market size,The seven-year 2015–2021 series sums the cartridge-system and disposable rows annually. The corrected 2020 table covers five prior recipients plus three of four new recipients; 2021 covers all nine recipients.,https://www.ftc.gov/reports/e-cigarette-report-2015-2018 ; https://www.ftc.gov/reports/e-cigarette-report-2021 ; source/US_FTC_2015_2021_REPORTED_SALES.md,2021,Annual sum of FTC-table cartridge systems + disposable e-cigarette sales.,"The reporting population changes, open-system products are excluded, the level is manufacturer reporting and the tax basis is unstated.",Supported,Not complete national consumer-retail value or an accepted donor; an open POS or consumer-sales series and tax basis are required.
The public site separates three evidence lanes and blocks a global total while the accepted-donor gate is 0/3.,Market size,Five candidates are assessed against the same ten D1–D10 criteria; none is accepted. The regional and regulatory-archetype coverage gates must also pass.,site/data/evidence-lanes.json ; site/data/donor-cockpit.json ; site/data/country-scenarios.json,2026-07-24,Fail-closed gates: a missing or invalid input returns not_computed rather than zero.,Only reviewed public aggregates and methods enter the public lane; licensed and private material do not enter the repository.,Confirmed,The global value remains uncomputed until at least three donors and both coverage gates are accepted.
The European Commission publishes a EUR 4.99 billion benchmark for the 2023 EU e-cigarette market.,Market size,"Footnote 83 on physical PDF page 25 of SWD(2026) 111 identifies Euromonitor International Tobacco 2025 as the source for the following tables; Table 4 on physical page 27 reports EUR 4.99 billion. Physical page 161 of SWD(2025) 560 describes a nearly EUR 5 billion aggregate covering devices and liquids, including nicotine-free products; page 162 states that data are unavailable for Cyprus, Luxembourg and Malta.",https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=SWD%3A2026%3A111%3AFIN ; https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=SWD%3A2025%3A0560%3AFIN,2023,"Cross-document comparison of the table, page and source references in two European Commission staff working documents; the figures are not summed.","The Commission publishes the benchmark, but its basis is commercial Euromonitor data. The full method, tax basis and reusable country dataset are not public, and three EU countries lack data.",Supported,"Acquire the licensed country table and method, transaction definition, channel coverage, tax basis and an independent reconciliation; complete Cyprus, Luxembourg and Malta."
Canada's 2024 manufacturer and importer shipment value was CAD 1.16075379678 billion.,Market size,"The official full-year series reports shipment value to wholesalers and retailers across four reported product categories. It does not measure consumer retail purchases, and Health Canada may revise the data.",https://health-infobase.canada.ca/substance-use/vaping/sales/,2024,Sum of the four reported product categories.,Shipment value is not treated as consumer retail value.,Confirmed,"Retail margins, channel structure and inventory movements must be reconciled."
"Canada's 2024 shipments included 1,251,843 litres.",Market size,"The total covers the reported vaporisable-substance categories. It is a physical volume, not a retail market value.",https://health-infobase.canada.ca/substance-use/vaping/sales/,2024,Sum of the reported liquid-containing product categories.,Physical volume is not treated as market value.,Confirmed,"Product mix, average price and retail-channel evidence are required."
Germany's taxed liquid volume increased from 1.241 million litres to 1.518 million litres in 2023–2025.,Market size,"The 2023 and 2024 observations are final, while 2025 is provisional.",https://genesis.destatis.de/datenbank/online/statistic/73411/table/73411-0003,2023–2025,Direct use of the reported net quantities without extrapolation.,"The series covers taxed liquid, not devices or illicit supply.",Confirmed,Final 2025 data and observed retail sales are required.
"German excise receipts from substitutes for tobacco were EUR 404 million in 2025, provisionally.",Market size,"The observation is cash-basis excise revenue, not sales revenue or retail market value.",https://genesis.destatis.de/datenbank/online/statistic/73411/table/73411-0003,2025,Direct use of the official cash-basis observation.,Excise receipts are not treated as sales or retail value.,Confirmed,Final 2025 data and reconciliation of the product-category tax base are required.
"Finland taxed 11,801.062 litres of nicotine-containing e-cigarette liquid in 2025.",Market size,"This is an official full-year observation. The full-year value for nicotine-free liquid is suppressed. The figure is a physical volume, excludes devices and is not retail value.",https://vero2.stat.fi/PXWeb/api/v1/en/Vero/Valmistevero/vvt_010.px,2025,Direct observation from the Finnish Tax Administration PXWeb table.,The observation is not treated as the full market.,Confirmed,"Devices, nicotine-free liquid, tax-free channels and illicit supply are missing."
"Finland's nicotine-liquid excise receipts were EUR 3,540,319 in 2025.",Market size,This is an official full-year observation. The nicotine-free observation is suppressed. Tax receipts are not sales or retail value.,https://vero2.stat.fi/PXWeb/api/v1/en/Vero/Valmistevero/vvt_010.px,2025,Direct observation from the Finnish Tax Administration PXWeb table.,Tax receipts are not treated as consumer sales.,Confirmed,Observed retail sales and price evidence are required.
"Poland reported 805,441 litres in 2023.",Market size,The official parliamentary response reports a physical volume. It excludes devices and is not an observed retail value.,https://api.sejm.gov.pl/sejm/term10/interpellations/attachment/ATTDDEJZ5/i07255-o1.pdf,2023,Direct use of the amount reported in the official response.,Coverage is interpreted within the limitations stated in the original response.,Confirmed,A newer series and observed retail value are required.
Poland reported PLN 993.1 million in e-liquid excise receipts for 2025.,Market size,"The official parliamentary response reports a tax amount, not sales or retail value. The amount is separate from devices and parts.",https://api.sejm.gov.pl/sejm/term10/interpellations/attachment/ATTDVKHSJ/i17526-o1.pdf,2025,Direct use of the amount reported in the official response.,The tax amount is not treated as retail value.,Confirmed,Finality and reconciliation to the tax base are required.
"Sweden taxed 26,000 litres of nicotine liquid in 2024.",Market size,"Table 7.5 reports a rounded official amount. It covers nicotine liquid only, excludes devices and nicotine-free liquid, and is not retail value.",https://www.regeringen.se/contentassets/1ed01e00001b42e5ad8d47433db63ece/berakningskonventioner_2026.pdf,2024,Direct use of the calculation basis stated by the government.,The observation is not treated as the full market.,Confirmed,Observed retail value and device data are required.
Three commercial 2025 global estimates form a range of USD 26.0–46.32 billion.,Market size,"IMARC reports USD 26.0 billion, Grand View Research USD 45.7 billion and Fortune Business Insights USD 46.32 billion.",https://www.imarcgroup.com/e-cigarette-market ; https://www.grandviewresearch.com/industry-analysis/e-cigarette-vaping-market ; https://www.fortunebusinessinsights.com/e-cigarette-and-vaping-market-114882,2025,"Minimum USD 26.0 billion; maximum USD 46.32 billion; the estimates are compared, not summed.",The scopes and methods of the commercial estimates may not be comparable.,Supported,Full methodologies and a harmonised scope are required before relying on the range.
"The 2025 German taxed-liquid retail-equivalent model gives a range of EUR 667.92–1,654.62 million.",Financial model,"This is not observed sales. Provisional 2025 volume is multiplied by three individual 2026 German e-shop prices. The year mismatch, a price basket from one retailer, product-mix uncertainty and exclusions make the estimate low confidence.",https://genesis.destatis.de/datenbank/online/statistic/73411/table/73411-0003 ; https://www.intaste.de/pfefferminz-liquid-germanflavours-liquid ; https://www.intaste.de/anstand-liquid-samurai-liquid ; https://www.intaste.de/tobacco-vanilla-nikotinsalz-revoltage-liquid,2025 volume / 2026 prices,volume_litres * 1000 * retail_price_eur_per_ml,Three individual online-shop prices; input years 2025 and 2026; taxed liquid only.,Assumption,"A representative price basket, product mix and channel margins, plus model-year 2025 prices, are required."
The atlas is not yet a lender-ready market valuation.,Financing thesis,research_dataset_not_valuation: most countries lack official annual device and liquid sales; market evidence is not yet linked to country-level patent status and claim charts; there is no independent IVS valuation or realised licence or damages cash flow.,site/data/atlas.json (readiness),2026-07-24,Use of the public dataset's own readiness classification.,Market data and IP value are kept analytically separate.,Confirmed,Every listed blocker must be closed before drawing collateral-value or enterprise-value conclusions.
The public data does not contain an independent IVS valuation.,Financial model,The absence is recorded as a readiness blocker.,site/data/atlas.json (readiness.blockers),2026-07-24,Absence check against the public package.,No assumptions.,Missing,"Commission an independent IP valuation and, if relevant, an enterprise valuation with scenarios."
The public data does not demonstrate realised licence or damages cash flow.,Commercialisation model,The absence is recorded as a readiness blocker.,site/data/atlas.json (readiness.blockers),2026-07-24,Absence check against the public package.,No assumptions.,Missing,"Provide signed agreements, invoices, proof of payment and reconciliation of receivables."
The public data does not confirm test results or independent technical validation.,Technical differentiation,"The patent specification describes the solution, but the package contains no separate test register.",site/data/patent-history.json,2026-07-24,Absence check in relation to any technical performance claim.,A patent publication is not treated as a product test report.,Missing,"Provide a test protocol, independent laboratory evidence, results and raw data."
The public data does not confirm pilots or named customer evidence.,Validation,The public evidence register contains no validated pilot or customer evidence.,site/data/evidence.csv,2026-07-24,Absence check against the public evidence register.,No company-level customer or pilot evidence is inferred.,Missing,"Provide signed pilot documents, delivery evidence, customer references and usage data."
"The public data does not confirm current country-level title, renewal-fee status or absence of encumbrances across the family.",IP status,Family publications do not establish current national post-grant status.,https://register.epo.org/application?number=EP14836345&lng=en&tab=family ; https://register.epo.org/application?number=EP14836345&lng=en&tab=legal ; https://www.epo.org/en/applying/european/validation,2026-07-24,Identification of the legal due-diligence limitation.,Checks in four registers do not establish status across the full family.,Missing,"Provide a counsel-signed country matrix, current official extracts, renewal receipts and encumbrance evidence."
The public data contains no country-specific product-to-claim mappings.,Technical differentiation,The published guardrail requires a counsel-reviewed claim chart before infringement conclusions.,https://data.epo.org/publication-server/rest/v1.2/patents/EP3032975NWB2/document.pdf ; https://www.gesetze-bayern.de/Content/Document/Y-300-Z-BECKRS-B-2026-N-14206,2026-07-24,Absence check for product-feature mapping to operative claim limitations.,Product similarity is not treated as evidence of infringement.,Missing,"Obtain identified products, chain of custody, teardown evidence and counsel-reviewed claim charts."
Total market value is not automatically the royalty base.,Financial model,"The valuation framework separates total market, addressable sales and cash flow.",https://www.wipo.int/en/web/business/ip-valuation,2026-07-24,Application of the valuation boundary stated in the framework.,"A royalty base requires geographic, temporal and product-level relevance to the claims.",Confirmed,"Build a bridge from total market to addressable, in-scope and claim-mapped sales."
"Patent value, enterprise value, equity value and collateral value are distinct metrics.",Financing thesis,"WIPO valuation and IP-financing frameworks, together with the published guardrail, require the value concepts to be separated.",https://www.wipo.int/en/web/business/ip-valuation ; https://www.wipo.int/en/web/ip-financing,2026-07-24,Analytical separation of the value concepts.,No assumptions.,Confirmed,Separate legal and economic analysis is required for each value concept.
A counsel-led limited licensing or settlement pilot is a possible commercialisation hypothesis.,Commercialisation model,"The proposed route uses staged hard gates, claim charts and auditable outreach.",https://www.wipo.int/ja/web/business/assignment-licensing ; https://www.wipo.int/en/web/business/settle-ip-disputes ; https://www.epo.org/en/searching-for-patents/business/ipscore,2026-07-24,"A proposed hypothesis, not evidence of realised commercialisation.",Targets would be selected only after legal and evidence gates are satisfied.,Assumption,"Management and patent-counsel approval are required, and cost, responses and terms must be documented."
Patent-backed financing should be assessed only on the basis of confirmed rights and cash flows.,Financing thesis,WIPO IP Finance and phase 5 of the patent history.,https://www.wipo.int/en/web/ip-financing ; https://www.wipo.int/en/web/business/ip-valuation,2026-07-24,Financing principle.,The current material does not demonstrate an existing collateral value.,Supported,"Independent valuation, rights due diligence, realised or contracted cash flow and downside analysis are required."
The next Australian renewal must be confirmed immediately.,Risks,"The official API records the patent as GRANTED, the latest renewal on 18 July 2025 and an in-force date of 14 August 2026.",https://production.api.ipaustralia.gov.au/public/ipright-search-api/v1/patents/2014307829,2026-08-14,Diligence alert derived directly from the official API record.,The recorded in-force-through date is not asserted to be the statutory payment deadline.,Confirmed,"The patent administrator or Australian counsel must confirm the statutory date, amount, authority and payment, and archive the receipt and current extract."
The Finnish register records the 14th-year fee as due on 31 August 2026.,Risks,"PRH records the 14th-year EUR 670 fee as due on 31 August 2026, with a late-payment period through 28 February 2027.",https://patenttitietopalvelu.prh.fi/en/patent/20135829,2026-08-31,Direct observation from the official register.,The ordinary deadline is the target rather than the late-payment period.,Confirmed,Pay by the ordinary deadline and archive the receipt and updated register extract.
The US 7.5-year maintenance-fee status must be confirmed.,Risks,The official route shows that the no-surcharge window ends on 4 December 2026. Payment was not independently confirmed from the reviewed public material.,https://fees.uspto.gov/MaintenanceFees/fees/details?patentNumber=10306923 ; https://patentcenter.uspto.gov/applications/14911851 ; https://assignment.uspto.gov/patent/index.html#/patent/search/resultFilter?searchInput=10306923,2026-12-04,Check of the official maintenance-fee window.,The public record reviewed here does not establish whether the fee has been paid or remains unpaid.,Confirmed,"US counsel must confirm entity status, amount and payment, and archive receipts and assignment records."
The public data lacks audited historical financial statements and a cash-flow forecast.,Financial model,The market and patent dataset does not contain company financial statements.,Public package scope,2026-07-24,Absence check against the scope of the public package.,No company-level financial conclusion is drawn.,Missing,"Provide 3–5 years of financial statements, the current general ledger, budget, cash-flow forecast, debt schedule and tax-debt certificate."
"The public data does not specify the funding need, use of funds or repayment source.",Financing thesis,"The public package does not state the requested amount, intended use or repayment structure.",Public package scope,2026-07-24,Absence check against the scope of the public package.,"No amount, maturity or security package is assumed.",Missing,"Provide the amount, use of funds, maturity, amortisation, repayment source and proposed covenants."
"The public data does not show the share capital, cap table or share encumbrances.",Financing thesis,The public package is limited to market and patent material.,Public package scope,2026-07-24,Absence check against the scope of the public package.,No conclusion is drawn about ownership or vulnerability to competing claims.,Missing,"Provide a certified shareholder register, articles, resolutions and a share-pledge and encumbrance statement in a closed data room."
The public data lacks a comparable analysis of competitors and alternatives.,Competition,Patent and case materials are not a competition map.,site/data/patent-history.json,2026-07-24,Absence check against the public package.,Competition is kept separate from patent overlap and from non-patented alternatives.,Missing,"Map products, manufacturers, technologies, patent families, prices and claim-map status."
"Manufacturers, technology providers and IP financiers are preliminary customer segments.",Customers,"The reviewed commercialisation routes include licensing, assignment and IP finance.",https://www.wipo.int/ja/web/business/assignment-licensing ; https://www.wipo.int/en/web/ip-financing,2026-07-24,Preliminary segmentation hypothesis based on the identified commercialisation routes.,There is no verified purchase intent or validated customer base.,Assumption,Validate the segments through 10–15 structured buyer and financier interviews and document their purchase criteria.
"The German decisions can serve as an evidence anchor, not as a worldwide infringement determination.",Financing thesis,"The decisions are limited to a country, products, parties and period.",https://www.rechtsprechung-im-internet.de/jportal/?quelle=jlink&docid=JURE269032275&psml=bsjrsprod.psml ; https://www.gesetze-bayern.de/Content/Document/Y-300-Z-BECKRS-B-2026-N-14206,2026-07-24,Application of the territorial and case-specific limits of the decisions.,Other countries depend on local rights and the products examined there.,Confirmed,Country-specific legal and claim packages are required before outreach.
Five countries are graded A and 158 countries are graded D.,Market size,"Classes: A 5, B 13, C 19, D 158.",site/data/atlas.json (summary.gradeCounts),2026-07-24,Count of countries in each evidence grade.,Evidence maturity is not treated as market attractiveness.,Confirmed,"Prioritise Grade D data requests by economic size, patent relevance and regulatory fit."
No global atlas estimate has been approved for publication.,Market size,"Zero accepted donors is below the minimum of three. Each of the five published New Zealand, EU, Canada, Germany and United States candidates has at least one failed or open D1–D10 criterion; the regional and regulatory-archetype coverage gates also remain unmet.","site/data/market-values.json (modelReadiness, donorProtocol and donorCandidates)",2026-07-24,"Hard gate: every donor must pass D1–D10, and at least three compatible donors plus both coverage gates are required.",Official lower bounds and external benchmarks remain useful cross-checks but are not counted as accepted donors.,Confirmed,Do not publish a single global value before the methodology gates are met.
A high-confidence financing package requires a closed data room alongside the public package.,Next steps,"The public package documents sources and gaps but does not contain confidential financial, contractual or complete title evidence.",Public package scope,2026-07-24,Recommendation based on the due-diligence architecture required by the identified gaps.,Access would be restricted and logged.,Supported,"Create an indexed data room with Corporate, IP, Legal, Commercial, Finance, Valuation and Security sections."
