operationalRank,priorityCode,wave,countryIso2,countryEn,countryFi,status,dispatchState,sentOn,publicAuthorityReference,responseState,rankingType,isMarketSizeRanking,rationaleEn,rationaleFi,primaryAuthorityEn,primaryAuthorityFi,recordsRequestedEn,recordsRequestedFi,requestChannelEn,requestChannelFi,requestUrl,legalBasisEn,legalBasisFi,languages,localRequester,eligibilityCaveatEn,eligibilityCaveatFi,fallbackAuthorityEn,fallbackAuthorityFi,fallbackUrl,officialSourceUrls,stateUniverseCount,evidenceStackLayerCount,supplementaryRequestCount,supplementarySentRequestCount,supplementaryRequestIds,verificationDate
1,A1,1A,DE,Germany,Saksa,sent,sent,2026-07-23,,registered_and_processing_confirmed,operational_evidence_acquisition_order,false,Existing official taxed-volume evidence and direct strategic relevance from the German patent proceedings make this the first reconciliation pilot.,Olemassa oleva virallinen verotettu määrä ja Saksan patenttiprosessin suora strateginen merkitys tekevät tästä ensimmäisen täsmäytyspilotin.,German Customs and Federal Statistical Office,Saksan tulli ja liittovaltion tilastovirasto,"Monthly and annual taxed litres of substitutes for tobacco products, excise revenue, refunds, exports and reporting-entity counts | Imports and exports of devices and liquids by national tariff code, value, quantity and unit | Seizures separately, with definitions and revision metadata","Tupakan korvaavien tuotteiden kuukausittaiset ja vuosittaiset verotetut litrat, verotuotto, palautukset, vienti ja raportoivien toimijoiden määrä | Laitteiden ja nesteiden tuonti ja vienti kansallisen tullinimikkeen, arvon, määrän ja yksikön mukaan | Takavarikot erikseen sekä määritelmät ja revisiotiedot",Federal freedom-of-information request service,Liittovaltion tietopyyntöpalvelu,https://verwaltung.bund.de/leistungsverzeichnis/DE/leistung/99064008001000/herausgeber/LeiKa-103285007/region/000000000000,Federal Freedom of Information Act (IFG),Liittovaltion tiedonsaantilaki (IFG),de,not_required,No nationality or residence restriction was identified on the official federal route; German wording is recommended and exemptions and fees still apply.,"Viralliselta liittovaltion reitiltä ei tunnistettu kansalaisuus- tai asuinpaikkarajausta; saksankielinen pyyntö on suositeltava, ja poikkeukset sekä maksut voivat silti soveltua.","Federal Statistical Office, GENESIS table family 73411","Liittovaltion tilastovirasto, GENESIS-tauluperhe 73411",https://www.destatis.de/DE/Presse/Pressemitteilungen/2025/01/PD25_035_73.html?templateQueryString=rauchen,https://www.zoll.de/EN/Contact/Enquiries/General-enquiries/general-enquiries_node.html,195,6,1,1,DE-BVL-TABAKERZV25-ANNUAL-SALES,2026-07-24
2,A2,1A,CA,Canada,Kanada,sent,sent,2026-07-23,,not_publicly_recorded,operational_evidence_acquisition_order,false,Health Canada's official shipment series and Statistics Canada's Retail Commodity Survey create a direct shipment-to-retail comparison. A secondary clarification request on the retail tax basis and annual use of quarterly estimates was sent on 2026-07-24; no reply is publicly recorded.,Health Canadan virallinen toimitussarja ja Statistics Canadan Retail Commodity Survey muodostavat suoran toimitus–vähittäismyynti-vertailun. Vähittäismyynnin veropohjaa ja neljännesvuosiarvioiden vuosikäyttöä koskeva täydentävä täsmennyspyyntö lähetettiin 24.7.2026; julkista vastausta ei ole kirjattu.,Health Canada,Health Canada,"Machine-readable semi-annual manufacturer/importer shipment records by province, category, units, liquid volume and reported value | Reporting coverage, suppressed cells, revisions and audit or quality-control metadata | A clear statement that the measure is shipment data rather than retail sell-through | Existing definitions confirming whether retail estimates exclude GST, HST, PST and QST; whether vaping duties are included; and whether a four-quarter sum is an intended annual total while retaining published quality warnings","Koneluettava puolivuosittainen valmistaja- ja maahantuojatoimitusten aineisto maakunnan, tuoteryhmän, kappaleiden, nestemäärän ja ilmoitetun arvon mukaan | Raportoinnin kattavuus, salatut solut, revisiot ja tarkastus- tai laadunvalvontatiedot | Selkeä vahvistus siitä, että mittari kuvaa toimituksia eikä vähittäismyyntiä | Olemassa olevat määritelmät siitä, sulkevatko vähittäismyyntiarviot GST-, HST-, PST- ja QST-verot pois, sisältyvätkö vaping-valmisteverot sekä onko neljän vuosineljänneksen summa tarkoitettu vuosiyhteissummaksi julkaistut laatuvaroitukset säilyttäen",Health Canada Access to Information and Privacy Division,Health Canadan tiedonsaanti- ja tietosuojayksikkö,https://www.canada.ca/en/health-canada/corporate/contact-us/access-information-privacy-division.html,Access to Information Act,Access to Information Act,en | fr,conditional,"A formal request is limited to Canadian citizens, permanent residents, and persons or corporations present in Canada; use an eligible local requester if needed. The published dataset needs no request.","Muodollisen pyynnön voivat tehdä Kanadan kansalaiset, pysyvät asukkaat sekä Kanadassa olevat henkilöt tai yhtiöt; käytä tarvittaessa kelpoista paikallista pyytäjää. Julkinen aineisto ei vaadi pyyntöä.","Canada Revenue Agency, vaping product duty records","Kanadan verovirasto, höyrystystuotteiden valmisteverotiedot",https://www.canada.ca/en/revenue-agency/corporate/about-canada-revenue-agency-cra/access-information-privacy-canada-revenue-agency/step-2-make-access-information-personal-information-request.html,https://health-infobase.canada.ca/substance-use/vaping/sales/ | https://www23.statcan.gc.ca/imdb/p2SV.pl?Function=getSurvey&SDDS=2008 | https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2010007101,195,6,0,0,,2026-07-24
3,A3,1A,US,United States,Yhdysvallat,sent,sent,2026-07-24,,not_publicly_recorded,operational_evidence_acquisition_order,false,"A strategically important market with a Pixan-family US publication, compulsory FTC reporting and detailed official tariff data.","Strategisesti tärkeä markkina, jossa on Pixan-perheen Yhdysvaltain julkaisu, FTC:n velvoittava raportointi ja yksityiskohtainen virallinen tullidata.",Federal Trade Commission,Yhdysvaltain kauppakomissio,"Existing post-2021 aggregate and anonymised tables derived from compulsory Section 6(b) e-cigarette reporting | Reported sales, units and product-category definitions, participating-company coverage and revisions | No company-confidential submissions or company-identifiable data","Olemassa olevat vuoden 2021 jälkeiset aggregoidut ja anonymisoidut taulukot, jotka perustuvat velvoittavaan 6(b)-raportointiin | Ilmoitettu myynti, kappaleet, tuoteryhmien määritelmät, yrityskattavuus ja revisiot | Ei yrityssalaisia ilmoituksia tai yrityksen tunnistavia tietoja",FTC Division of Advertising Practices informal public-data inquiry,FTC:n Division of Advertising Practices -yksikön epämuodollinen julkisen datan tiedustelu,https://www.ftc.gov/about-ftc/bureaus-offices/bureau-consumer-protection/our-divisions/division-advertising-practices,FTC Act Section 6(b) aggregate-data inquiry; formal FOIA reserved as a fallback,FTC Act -lain 6(b)-kohdan aggregaattidatan tiedustelu; muodollinen FOIA säilytetään varareittinä,en,not_required,"No local-requester restriction applies to the informal inquiry. If a formal FOIA request later becomes necessary, any person may file, but confidential business information remains exempt and the request must stay aggregate and anonymised.","Epämuodolliseen tiedusteluun ei sovelleta paikallisen pyytäjän rajoitusta. Jos muodollinen FOIA-pyyntö tulee myöhemmin tarpeelliseksi, sen voi tehdä kuka tahansa, mutta luottamuksellinen yritystieto säilyy poikkeuksen piirissä ja pyyntö on pidettävä aggregoituna ja anonymisoituna.",FTC Freedom of Information Act office,FTC:n FOIA-toimisto,https://www.ftc.gov/foia,https://www.ftc.gov/reports/e-cigarette-report-2021 | https://www.fda.gov/tobacco-products/about-center-tobacco-products-ctp/ctp-freedom-information-act,195,6,0,0,,2026-07-24
4,A4,1A,CN,China,Kiina,draft_not_sent,draft_not_sent,,,not_applicable,operational_evidence_acquisition_order,false,"Global manufacturing relevance, a Pixan-family Chinese publication and an official full-coverage statistical survey justify an early request despite access friction.","Globaali valmistusmerkitys, Pixan-perheen Kiinan julkaisu ja virallinen kattava tilastokysely puoltavat varhaista pyyntöä tiedonsaannin kitkasta huolimatta.",National Bureau of Statistics of China,Kiinan kansallinen tilastovirasto,"Existing aggregate annual e-cigarette survey tables for production, transaction value, inventory, domestic sales, exports and output value | Product-category definitions, survey coverage, respondent counts, missingness and revisions | Aggregate release only; no respondent-identifiable records","Olemassa olevat aggregoidut vuotuiset sähkösavukekyselyn taulukot tuotannosta, transaktioarvosta, varastosta, kotimaan myynnistä, viennistä ja tuotantoarvosta | Tuoteryhmien määritelmät, kyselyn kattavuus, vastaajamäärä, puuttuvat tiedot ja revisiot | Vain aggregoitu luovutus, ei vastaajan tunnistavia tietueita",NBS open-government-information request form,NBS:n julkisen tiedon pyyntölomake,https://www.stats.gov.cn/statsinfo/ysqgk/applyform_add.html,Regulations of the People's Republic of China on Open Government Information,Kiinan kansantasavallan julkisen hallintotiedon säädökset,zh,recommended,"The official form and appeal process are Chinese-language and may require locally usable identity and contact details. The NBS states that the underlying survey data are not currently public, so an aggregate-only refusal or partial release is possible.","Virallinen lomake ja muutoksenhakuprosessi ovat kiinankielisiä ja voivat edellyttää paikallisesti käytettäviä henkilöllisyys- ja yhteystietoja. NBS ilmoittaa, ettei kyselyaineisto ole tällä hetkellä julkinen, joten aggregaattipyyntö voidaan evätä tai täyttää vain osittain.",General Administration of Customs of China,Kiinan tullihallinto,https://english.customs.gov.cn/Statistics/Statistics,https://www.stats.gov.cn/fw/bmdcxmsp/bmzd/202402/t20240205_1947271.html,195,6,0,0,,2026-07-24
5,A5,1A,PL,Poland,Puola,sent,sent,2026-07-22,,not_publicly_recorded,operational_evidence_acquisition_order,false,"Pixan-family publication, product-notification data and specific excise routes support a high-value EU reconciliation case.","Pixan-perheen julkaisu, tuoteilmoitustiedot ja erilliset valmisteveroreitit tukevat arvokasta EU-täsmäytystä.",Polish Ministry of Finance,Puolan valtiovarainministeriö,"Monthly and annual excise-declared millilitres and revenue for e-cigarette liquids | Domestic release, intra-EU acquisition and import separately, including tax stamps, taxpayers, refunds and exports | The 2025 disposable-device surcharge or equivalent category separately where held","Sähkösavukenesteiden kuukausittaiset ja vuosittaiset valmisteveroilmoitetut millilitrat ja verotuotto | Kotimaan kulutukseen luovutus, EU-sisähankinta ja tuonti erikseen sekä veromerkit, verovelvolliset, palautukset ja vienti | Vuoden 2025 kertakäyttölaitelisä tai vastaava tuoteryhmä erikseen, jos tieto on hallussa",Ministry of Finance public-information request service,Valtiovarainministeriön julkisen tiedon pyyntöpalvelu,https://www.gov.pl/web/finanse/uzyskaj-informacje-publiczna,Act of 6 September 2001 on Access to Public Information,Laki julkisen tiedon saatavuudesta 6.9.2001,pl,not_required,The public-information route is open without a stated nationality condition; Polish wording is recommended and tax secrecy requires aggregate-only framing.,Julkisen tiedon reitillä ei ilmoiteta kansalaisuusehtoa; puolankielinen pyyntö on suositeltava ja verosalaisuus edellyttää aggregoitua rajausta.,Bureau for Chemical Substances product-notification list,Kemikaaliviraston tuoteilmoitusluettelo,https://www.gov.pl/web/chemikalia/Papierosy-elektroniczne-i-pojemniki-zapasowe,https://www.gov.pl/web/finanse/kazdy-plyn-do-e-papierosow-podlega-akcyzie,195,6,0,0,,2026-07-24
6,A6,1A,GB,United Kingdom,Yhdistynyt kuningaskunta,sent,sent,2026-07-16,CEC 261515,not_publicly_recorded,operational_evidence_acquisition_order,false,"A mature FOI system, product notifications and a forthcoming dedicated duty create a useful longitudinal route, while current and future tax periods must remain separate.","Vakiintunut FOI-järjestelmä, tuoteilmoitukset ja tuleva erillinen vero tarjoavat hyvän aikasarjareitin, mutta nykyiset ja tulevat verokaudet on pidettävä erillään.",Medicines and Healthcare products Regulatory Agency,Lääke- ja terveydenhuollon tuotevirasto,"Snapshots and counts of active and withdrawn ECIG notifications by product type | Aggregate annual sales-volume reports under Regulation 32 where held, with units or millilitres | Reporting coverage, missingness, revisions and the reported supply-chain stage","Aktiivisten ja peruutettujen ECIG-ilmoitusten tilannekuvat ja määrät tuotetyypeittäin | Regulation 32:n mukaiset aggregoidut vuotuiset myyntimääräraportit, jos hallussa, kappaleina tai millilitroina | Raportoinnin kattavuus, puuttuvat tiedot, revisiot ja ilmoitettu toimitusketjun vaihe",MHRA Freedom of Information route,MHRA:n Freedom of Information -reitti,https://foi-request.mhra.gov.uk/start-now,Freedom of Information Act 2000,Freedom of Information Act 2000,en,not_required,"Anyone can make a UK FOI request. The Vaping Products Duty begins only in October 2026, so it cannot evidence historical realised duty or sales for 2018-2025.","Kuka tahansa voi tehdä Yhdistyneen kuningaskunnan FOI-pyynnön. Vaping Products Duty alkaa vasta lokakuussa 2026, joten se ei osoita vuosien 2018-2025 toteutunutta veroa tai myyntiä.",HM Revenue and Customs vaping duty enquiries,HM Revenue and Customsin höyrystystuoteveron tiedustelut,https://www.gov.uk/find-hmrc-contacts/excise-warehousing-excise-goods-movements-and-alcohol-duties-enquiries,https://www.gov.uk/government/collections/mhra-freedom-of-information-foi-disclosure-log,195,6,0,0,,2026-07-24
7,A7,1A,SE,Sweden,Ruotsi,sent,sent,2026-07-23,,automated_route_correction_received,operational_evidence_acquisition_order,false,Mandatory annual brand- and product-type sales reporting and documented enforcement of missing reports make Sweden a strong completeness benchmark.,Pakollinen vuosimyyntiraportointi merkin ja tuotetyypin mukaan sekä dokumentoitu puuttuvien raporttien valvonta tekevät Ruotsista vahvan kattavuuden vertailumaan.,Public Health Agency of Sweden,Ruotsin kansanterveysviranomainen,"Aggregate annual sales volumes by product type in units and millilitres | Numbers of reporting entities and products, late or missing reports and suppressed cells | Revisions and market prohibitions connected with annual-reporting non-compliance","Aggregoidut vuotuiset myyntimäärät tuotetyypeittäin kappaleina ja millilitroina | Raportoivien toimijoiden ja tuotteiden määrät, myöhästyneet tai puuttuvat raportit ja salatut solut | Revisiot ja vuosiraportoinnin laiminlyöntiin liittyvät markkinakiellot",Public Health Agency public-record request service,Kansanterveysviranomaisen julkisuuspyyntöpalvelu,https://www.folkhalsomyndigheten.se/om-folkhalsomyndigheten/kontakta-folkhalsomyndigheten/ta-del-av-allman-handling/,Principle of public access and the Public Access to Information and Secrecy Act (2009:400),Julkisuusperiaate ja julkisuus- ja salassapitolaki (2009:400),sv | en,not_required,No local-requester condition was identified; start with aggregate product-type data because brand-level material may trigger confidentiality review.,"Paikallisen pyytäjän ehtoa ei tunnistettu; aloita aggregoidusta tuotetyyppidatasta, koska merkkikohtainen aineisto voi johtaa salassapitoarvioon.",Swedish Tax Agency,Ruotsin verovirasto,https://www4.skatteverket.se/rattsligvagledning/edition/2026.12/366196.html,https://www.folkhalsomyndigheten.se/the-public-health-agency-of-sweden/living-conditions-and-lifestyle/andtg/legal-requirements/e-cigarettes-refill-containers/requirements-on-electronic-cigarettes-and-refill-containers/notification-on-electronic-cigarettes-and-refill-containers/ | https://www.folkhalsomyndigheten.se/publikationer-och-material/publikationsarkiv/u/uppfoljning-av-program-for-marknadskontroll-2025-tobak-och-liknande-produkter/?pub=155021,195,6,0,0,,2026-07-24
8,A8,1A,IT,Italy,Italia,sent,sent,2026-07-23,,not_publicly_recorded,operational_evidence_acquisition_order,false,A significant EU market with a specific inhalation-liquid tax and official product lists supports direct volume and registry reconciliation.,"Merkittävä EU-markkina, erillinen inhalaationesteen vero ja viralliset tuoteluettelot mahdollistavat suoran määrä- ja rekisteritäsmäytyksen.",Customs and Monopolies Agency,Tulli- ja monopolivirasto,"Monthly tax-declared millilitres for inhalation liquids, separately with and without nicotine | Domestic release, imports and intra-EU acquisitions, tax revenue, refunds and exports | Registered product and licence counts with definitions and revisions","Inhalaationesteiden kuukausittaiset veroilmoitetut millilitrat erikseen nikotiinilla ja ilman nikotiinia | Kotimaan kulutukseen luovutus, tuonti ja EU-sisähankinta, verotuotto, palautukset ja vienti | Rekisteröityjen tuotteiden ja toimilupien määrät sekä määritelmät ja revisiot",ADM generalised civic-access request,ADM:n yleistetty julkisuuspyyntö,https://www.adm.gov.it/portale/-/accesso-civico-generalizzato,"Legislative Decree 33/2013, Article 5(2), subject to Article 5-bis","Lainsäädäntöasetus 33/2013, 5 artiklan 2 kohta, 5-bis artiklan rajoituksin",it,not_required,No local-requester condition was identified for generalised civic access; Italian wording is recommended and taxpayer-level records must be excluded.,Yleistetyssä julkisuuspyynnössä ei tunnistettu paikallisen pyytäjän ehtoa; italiankielinen pyyntö on suositeltava ja verovelvolliskohtaiset tiedot on rajattava pois.,Italian Ministry of Health product and EU-CEG information,Italian terveysministeriön tuote- ja EU-CEG-tiedot,https://www.salute.gov.it/new/it/tema/fumo-prodotti-del-tabacco-sigarette-elettroniche/ingredienti-prodotti-tabacco-e-sigarette/,https://www.adm.gov.it/portale/circolari_tabacco_inalazione,195,6,0,0,,2026-07-24
9,A9,1A,FR,France,Ranska,sent,sent,2026-07-23,,not_publicly_recorded,operational_evidence_acquisition_order,false,"A large EU market where the EU-CEG record structure contains annual sales fields, with ANSES documenting important completeness limitations.","Suuri EU-markkina, jossa EU-CEG-tietorakenne sisältää vuosimyyntikenttiä ja ANSES on dokumentoinut tärkeät kattavuusrajoitteet.","French Agency for Food, Environmental and Occupational Health and Safety","Ranskan elintarvike-, ympäristö- ja työterveysvirasto","Aggregate annual EU-CEG-reported units or millilitres by product category and presentation | Active and withdrawn products and numbers of reporting entities | Missing, incomplete or late annual sales reports, suppressed cells and revisions","Aggregoidut vuosittaiset EU-CEG-ilmoitetut kappaleet tai millilitrat tuoteryhmän ja esitysmuodon mukaan | Aktiiviset ja peruutetut tuotteet sekä raportoivien toimijoiden määrä | Puuttuvat, epätäydelliset tai myöhästyneet vuosimyyntiraportit, salatut solut ja revisiot",ANSES administrative-record access contact,ANSES:n hallinnollisten asiakirjojen tietopyyntöyhteys,https://www.anses.fr/en/content/legal-information,"Code des relations entre le public et l'administration, Book III","Hallinnon ja yleisön välisiä suhteita koskeva laki, III kirja",fr,not_required,Administrative documents can be requested regardless of nationality; French wording is recommended and an adverse or silent decision may be referred to CADA.,Hallinnollisia asiakirjoja voi pyytää kansalaisuudesta riippumatta; ranskankielinen pyyntö on suositeltava ja kielteinen tai puuttuva ratkaisu voidaan saattaa CADA:n käsiteltäväksi.,Commission for Access to Administrative Documents,Hallinnollisten asiakirjojen saatavuuskomissio,https://www.cada.fr/particulier/les-modalites-de-communication,https://www.anses.fr/fr/content/produits-du-vapotage,195,6,0,0,,2026-07-24
